modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,47,174,3.303836083542139,0.011077877277919583,3.2825163628617395,3.303901852637853,3.324034000462645,3.3039148337860964,26.2181373351678,3.3038835648733498
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,48,175,3.031981008921506,0.011091408026890449,3.0103878731682974,3.0321155297323403,3.051980167680524,3.03216223905423,19.7422138784596,3.0321709414854925
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,49,176,2.501712286299597,0.011148338360520146,2.4794973342209183,2.5019935403244187,2.5213127439045304,2.502112833616709,11.2093833801536,2.5022047856314624
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,51,177,3.0927681155265385,0.011112464808013856,3.070907241927372,3.092967540412477,3.1125878657618253,3.093043628745544,21.0450055341885,3.0930860698504
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,50,178,1.4628171008899444,0.011067079758735575,1.4420442537046225,1.4627488669749105,1.4834417568628526,1.4626933059359493,3.31711642835021,1.46258768594564
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,53,179,2.1331478043268692,0.011083202483183592,2.111689956111285,2.1332485515282884,2.1532438246733867,2.133277834004336,7.44239036007057,2.133265486527054
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,55,180,2.0091207852748263,0.011067495299813001,1.988111180237123,2.0091101790711505,2.0295534289240442,2.009084308499331,6.45593061351784,2.0090097712130888
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,54,181,2.9880002574004783,0.011122566850851634,2.9660331013060683,2.988225861476046,3.007749349282336,2.988315251652264,18.8533636014514,2.9883734437327383
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,6,2017-09-16,56,182,3.608749098955067,0.011171017402563882,3.586308904612287,3.6090754720927674,3.628231092726384,3.6092162434798145,35.9413434529631,3.60933134262529
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,01,183,3.0095097824445025,0.011143963487817068,2.9873141434167354,3.00978675232303,3.0291188279394925,3.00990421241994,19.2872851486641,3.0099943424538416
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,05,184,2.4966120935644223,0.011126810129059143,2.474596656259805,2.496849656624564,2.516327862202966,2.4969461769403005,11.1461594538591,2.4970130254856295
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,04,185,2.3810671721091183,0.01114808861177003,2.358837791209082,2.3813516823812093,2.400657659634201,2.3814728519238773,9.82184900848548,2.3815671468487207
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,06,186,2.7777171075573612,0.0111247430281812,2.7557181759465332,2.7779510489937245,2.797442779480359,2.778045860529081,15.0885981135662,2.7781108294002523
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,08,187,3.7025524783429105,0.01106792691186454,3.6815716992002074,3.7025353019724148,3.7230070614466935,3.7025080269989448,39.5458343699924,3.702433047047583
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,09,188,2.3713661998056565,0.011081237411762764,2.3499392186825845,2.3714590322322215,2.391483400237014,2.3714847755097574,9.71310906277337,2.371468137642432
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,10,189,2.252154267512565,0.011070862171722545,2.2309796633427625,2.252184923982057,2.2724580970383688,2.2521811516165946,8.50797989870934,2.2521314353507127
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,12,190,1.5687292613274197,0.01115744595130746,1.5490717627467456,1.568344028312841,1.5906155108052982,1.56813035574549,3.79639234148545,1.5678640398004609
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,13,191,3.8945394994072853,0.011121205026422887,3.872580084170722,3.894763922289746,3.9142897582592755,3.8948551792327653,48.1519499891331,3.8949165200509976
